datetime	open	high	low	close	volume
18.02.1998 00:00	1.14	1.14	1.127	1.127	55
20.02.1998 00:00	1.125	1.125	1.115	1.115	60
24.02.1998 00:00	1.11	1.11	1.101	1.101	100
26.02.1998 00:00	1.11	1.11	1.08	1.08	190
03.03.1998 00:00	1.1	1.1	1.1	1.1	100
04.03.1998 00:00	1.135	1.139	1.12	1.12	229
05.03.1998 00:00	1.12	1.12	1.12	1.12	25
06.03.1998 00:00	1.19	1.29	1.16	1.29	699
10.03.1998 00:00	1.29	1.377	1.29	1.377	364
11.03.1998 00:00	1.4	1.43	1.34	1.36	455
12.03.1998 00:00	1.36	1.36	1.36	1.36	7
13.03.1998 00:00	1.31	1.362	1.30001	1.346	1006
16.03.1998 00:00	1.35	1.37	1.35	1.366	363
17.03.1998 00:00	1.35	1.355	1.34	1.34	427
18.03.1998 00:00	1.349	1.349	1.279	1.339	133
19.03.1998 00:00	1.35	1.35	1.31	1.335	605
20.03.1998 00:00	1.349	1.349	1.33	1.33	139
23.03.1998 00:00	1.23	1.3	1.23	1.29	155
24.03.1998 00:00	1.324	1.3255	1.31	1.31	206
25.03.1998 00:00	1.36	1.36	1.29	1.3	83
26.03.1998 00:00	1.27	1.27	1.25	1.251	125
30.03.1998 00:00	1.2351	1.262	1.235	1.261	487
31.03.1998 00:00	1.285	1.285	1.285	1.285	10
01.04.1998 00:00	1.22	1.22	1.215	1.217	114
02.04.1998 00:00	1.23	1.23	1.22	1.22	153
03.04.1998 00:00	1.20201	1.234	1.20201	1.205	49
06.04.1998 00:00	1.193	1.205	1.193	1.2	164
07.04.1998 00:00	1.215	1.215	1.215	1.215	1
08.04.1998 00:00	1.205	1.205	1.198	1.205	118
09.04.1998 00:00	1.215	1.215	1.16	1.16	374
10.04.1998 00:00	1.13001	1.182	1.13	1.175	1198
13.04.1998 00:00	1.19	1.19	1.175	1.182	240
14.04.1998 00:00	1.16501	1.182	1.165	1.182	164
15.04.1998 00:00	1.185	1.2	1.185	1.191	317
16.04.1998 00:00	1.2	1.205	1.185	1.195	426
17.04.1998 00:00	1.2	1.22	1.2	1.2	734
20.04.1998 00:00	1.203	1.205	1.2	1.2035	144
21.04.1998 00:00	1.203	1.205	1.203	1.205	191
22.04.1998 00:00	1.216	1.218	1.201	1.207	132
23.04.1998 00:00	1.212	1.22	1.2	1.22	215
24.04.1998 00:00	1.22	1.26	1.2198	1.25	261
27.04.1998 00:00	1.22	1.222	1.205	1.205	641
28.04.1998 00:00	1.17511	1.18	1.17	1.18	528
29.04.1998 00:00	1.215	1.229	1.2	1.229	682
30.04.1998 00:00	1.2	1.218	1.2	1.218	40
05.05.1998 00:00	1.232	1.24	1.22	1.24	444
06.05.1998 00:00	1.225	1.255	1.22	1.255	3872
07.05.1998 00:00	1.25	1.25	1.24	1.243	688
08.05.1998 00:00	1.229	1.235	1.229	1.235	110
12.05.1998 00:00	1.22	1.22	1.2	1.215	423
13.05.1998 00:00	1.15	1.17	1.13	1.165	220
14.05.1998 00:00	1.165	1.165	1.00022	1.05	364
18.05.1998 00:00	0.96	0.96	0.96	0.96	25
19.05.1998 00:00	1.0	1.129	1.0	1.129	46
20.05.1998 00:00	1.03	1.088	1.03	1.088	386
21.05.1998 00:00	1.025	1.05	1.02	1.025	816
22.05.1998 00:00	0.99	1.01	0.99	1.01	66
25.05.1998 00:00	0.97	0.97	0.91	0.96	131
26.05.1998 00:00	0.9	0.9	0.9	0.9	143
27.05.1998 00:00	0.65	0.7	0.65	0.656	351
28.05.1998 00:00	0.74	0.795	0.74	0.75	552
29.05.1998 00:00	0.75	0.787	0.75	0.787	83
01.06.1998 00:00	0.7	0.721	0.7	0.72	192
02.06.1998 00:00	0.755	0.79	0.755	0.79	434
03.06.1998 00:00	0.88	0.885	0.84	0.855	413
04.06.1998 00:00	0.9	0.9	0.865	0.875	153
05.06.1998 00:00	0.86	0.875	0.86	0.868	339
08.06.1998 00:00	0.83	0.85	0.83	0.85	431
09.06.1998 00:00	0.79	0.79	0.79	0.79	1
10.06.1998 00:00	0.79	0.79	0.79	0.79	10
11.06.1998 00:00	0.75	0.758	0.749	0.758	313
16.06.1998 00:00	0.68	0.735	0.68	0.72	441
17.06.1998 00:00	0.72	0.774	0.71	0.774	634
18.06.1998 00:00	0.78	0.78	0.76	0.76	877
19.06.1998 00:00	0.725	0.73	0.725	0.73	181
22.06.1998 00:00	0.71	0.71	0.71	0.71	72
23.06.1998 00:00	0.70005	0.71666	0.70005	0.71666	68
24.06.1998 00:00	0.725	0.735	0.714	0.715	770
25.06.1998 00:00	0.715	0.72	0.7	0.7	85
26.06.1998 00:00	0.65	0.665	0.642	0.642	399
29.06.1998 00:00	0.625	0.65	0.61	0.61	307
30.06.1998 00:00	0.68	0.68	0.61	0.61	16
01.07.1998 00:00	0.605	0.605	0.58001	0.58001	135
02.07.1998 00:00	0.56	0.57	0.55	0.57	264
03.07.1998 00:00	0.565	0.575	0.56	0.56	238
09.07.1998 00:00	0.55	0.55	0.55	0.55	96
10.07.1998 00:00	0.549	0.549	0.549	0.549	100
13.07.1998 00:00	0.6	0.62	0.58022	0.62	308
14.07.1998 00:00	0.67	0.74	0.66	0.74	456
15.07.1998 00:00	0.72	0.75	0.7	0.735	196
16.07.1998 00:00	0.72133	0.72133	0.65	0.65	133
17.07.1998 00:00	0.73	0.735	0.72	0.735	174
20.07.1998 00:00	0.719	0.719	0.719	0.719	26
21.07.1998 00:00	0.703	0.703	0.703	0.703	62
22.07.1998 00:00	0.6	0.65	0.6	0.65	28
27.07.1998 00:00	0.703	0.703	0.56	0.56	35
28.07.1998 00:00	0.52	0.56	0.52	0.56	141
29.07.1998 00:00	0.6	0.6	0.6	0.6	41
30.07.1998 00:00	0.595	0.63	0.595	0.6	56
31.07.1998 00:00	0.55	0.6	0.55	0.6	100
03.08.1998 00:00	0.59	0.6	0.59	0.6	39
04.08.1998 00:00	0.5	0.593	0.5	0.593	160
06.08.1998 00:00	0.57	0.57	0.55	0.56	194
07.08.1998 00:00	0.52	0.54	0.5	0.54	269
10.08.1998 00:00	0.505	0.55	0.505	0.55	54
11.08.1998 00:00	0.4	0.4	0.4	0.4	222
12.08.1998 00:00	0.4	0.4	0.4	0.4	100
13.08.1998 00:00	0.3	0.3	0.25	0.25	97
17.08.1998 00:00	0.25	0.25	0.25	0.25	10
18.08.1998 00:00	0.21	0.21	0.14	0.175	373
21.08.1998 00:00	0.17	0.175	0.17	0.17	63
27.08.1998 00:00	0.15	0.165	0.15	0.165	42
01.09.1998 00:00	0.18	0.18	0.17	0.17	50
02.09.1998 00:00	0.19	0.19	0.19	0.19	50
03.09.1998 00:00	0.195	0.195	0.195	0.195	11
11.09.1998 00:00	0.3	0.3	0.3	0.3	40
14.09.1998 00:00	0.2	0.2	0.2	0.2	2
15.09.1998 00:00	0.207	0.207	0.207	0.207	74
16.09.1998 00:00	0.22	0.22	0.22	0.22	37
21.09.1998 00:00	0.2	0.2	0.2	0.2	15
23.09.1998 00:00	0.28	0.28	0.25	0.25	6
25.09.1998 00:00	0.2	0.2	0.2	0.2	90
29.09.1998 00:00	0.2	0.215	0.2	0.215	134
30.09.1998 00:00	0.2	0.21	0.2	0.2	31
01.10.1998 00:00	0.21	0.21	0.20001	0.20001	67
02.10.1998 00:00	0.21	0.21	0.21	0.21	5
05.10.1998 00:00	0.2	0.2	0.2	0.2	26
06.10.1998 00:00	0.2	0.2	0.2	0.2	2
08.10.1998 00:00	0.2	0.2	0.195	0.2	133
12.10.1998 00:00	0.2	0.2	0.2	0.2	30
13.10.1998 00:00	0.213	0.213	0.213	0.213	13
20.10.1998 00:00	0.2	0.2	0.2	0.2	20
21.10.1998 00:00	0.2	0.2	0.195	0.195	61
22.10.1998 00:00	0.2	0.213	0.18	0.18	230
23.10.1998 00:00	0.2	0.2	0.2	0.2	20
26.10.1998 00:00	0.193	0.193	0.193	0.193	10
27.10.1998 00:00	0.193	0.193	0.187	0.193	167
28.10.1998 00:00	0.18	0.18	0.18	0.18	100
30.10.1998 00:00	0.191	0.2	0.19	0.195	491
02.11.1998 00:00	0.19	0.19	0.171	0.18	428
03.11.1998 00:00	0.185	0.185	0.182	0.182	93
04.11.1998 00:00	0.19	0.19	0.181	0.182	974
06.11.1998 00:00	0.195	0.195	0.195	0.195	1
10.11.1998 00:00	0.19	0.21	0.19	0.2005	558
11.11.1998 00:00	0.215	0.215	0.215	0.215	67
12.11.1998 00:00	0.2	0.229	0.2	0.229	100
13.11.1998 00:00	0.23	0.23	0.21	0.226	644
16.11.1998 00:00	0.23	0.235	0.211	0.235	169
17.11.1998 00:00	0.249	0.25	0.24899	0.249	103
18.11.1998 00:00	0.22	0.265	0.2	0.25	403
19.11.1998 00:00	0.245	0.245	0.21	0.2205	732
20.11.1998 00:00	0.219	0.26	0.219	0.25	406
23.11.1998 00:00	0.29	0.3	0.29	0.295	118
24.11.1998 00:00	0.315	0.33	0.29	0.3	350
25.11.1998 00:00	0.308	0.33	0.301	0.307	117
26.11.1998 00:00	0.32	0.33	0.311	0.33	259
27.11.1998 00:00	0.33	0.34	0.327	0.34	351
30.11.1998 00:00	0.34	0.365	0.34	0.365	296
